item_id,baseline_similarity,final_similarity,delta_similarity,auc_similarity,linear_slope,linear_slope_early,half_life_episode,half_life_censored,cross_sim_lt_0_80,cross_sim_lt_0_70,semantic_diversity,sentence_count,word_count
0,0.9118511238364502,0.7893595821047092,-0.12249154173174093,0.8294271344986517,-0.007819812691881247,0.009934194846927778,1.0,False,1.0,,0.48706824362686574,5,58
1,0.8802258443697799,0.6029931306838989,-0.277232713685881,0.7720885956350299,-0.03659514457048678,-0.011425342344883432,7.0,False,6.0,7.0,0.5928600566587343,5,48
2,0.9115705761781511,0.8172917609599761,-0.09427881521817494,0.8259302445687902,-0.011947168723945512,-0.0365853204904415,1.0,False,3.0,,0.5196951310425454,5,53
3,0.830337534526735,0.6128400429677956,-0.21749749155893938,0.7204566905304833,-0.02185116205730669,-0.004227971308574106,2.0,False,1.0,4.0,0.6576200288376352,5,46
4,0.8855203253651116,0.876792848110199,-0.00872747725491263,0.8253238494968573,0.003350820294813353,-0.03103514890022711,1.0,False,1.0,,0.6531905953802948,5,32
5,0.5588379405890076,0.6478500962257385,0.08901215563673093,0.635157053712216,0.012606951432665634,0.035472825174630886,0.0,False,0.0,0.0,0.6128189463823407,5,39
6,0.27717007858574916,0.34097801691162744,0.06380793832587828,0.29527374900447484,0.014485197542059434,0.05803347606890232,0.0,False,0.0,0.0,0.7508289995288202,5,38
7,0.8653937658432878,0.6662319898605347,-0.1991617759827531,0.7414531630934121,-0.007738407734363191,-0.04771301067308467,1.0,False,1.0,3.0,0.5699136498493023,5,44
8,0.7891176468659864,0.7252416014671326,-0.06387604539885383,0.7566235996309266,0.0017347141731081847,-0.023173201186503442,2.0,False,0.0,2.0,0.646921477485445,5,42
9,0.7853782176971436,0.7774729364357277,-0.007905281261415875,0.7248765091055591,-0.006037529586592111,-0.03028904036819535,2.0,False,0.0,5.0,0.6428972695109809,5,28
10,0.8346469303755137,0.8980777859687805,0.06343085559326678,0.855866540752259,0.0007266425005841667,-0.0024967946251430832,0.0,False,,,0.6756143784606656,5,36
11,0.8829465578230302,0.7431050539016724,-0.13984150392135786,0.7884627796703567,-0.017495740731217728,-0.05366749972796695,3.0,False,3.0,,0.6010777720619319,5,52
12,0.5101106762886047,0.6349537590173637,0.12484308272875899,0.5755204485345042,0.017736794754508203,0.06066271531890434,0.0,False,0.0,0.0,0.6818978896345627,5,48
13,0.9040622057951827,0.9186924695968628,0.014630263801680088,0.9136646191909618,0.0012138214192994711,0.002497539856399973,0.0,False,,,0.6480224783122516,5,30
14,0.16194088757038116,0.34447260764078,0.18253172007039886,0.24438685109983785,0.019031379821551845,-0.017244044312700366,0.0,False,0.0,0.0,0.7404877588945229,5,48
15,0.8493472933769226,0.7998704314231873,-0.04947686195373535,0.8344793712927518,0.004179514361588964,0.00516993709718649,1.0,False,1.0,,0.5680858239377079,5,26
16,0.8576056020738367,0.7972903489258993,-0.0603152531479374,0.7860804470652966,-0.008748522913750665,-0.0008812141190573292,1.0,False,1.0,,0.4876610117034181,5,37
17,0.8140472658900791,0.6826268637963198,-0.13142040209375938,0.7114589222443487,-0.009561620039525247,-0.02791916991556818,1.0,False,1.0,4.0,0.6479489058132446,5,38
18,0.8769950197336105,0.8023095726966858,-0.0746854470369247,0.7691281106662105,-0.010610616988455711,-0.07675335436906876,1.0,False,1.0,3.0,0.6116008088462163,5,35
19,0.836677635809113,0.8942317633101874,0.05755412750107436,0.840897599280144,0.005538181499896956,-0.001281877844576876,0.0,False,5.0,,0.6506839750687764,5,45
20,0.8600145661822235,0.8817053103955187,0.0216907442132952,0.8453308209489154,-0.002412371465509851,-0.0014754244552672542,0.0,False,7.0,,0.571009916336791,5,61
21,0.5170640811679457,0.5214395237827026,0.004375442614756975,0.5232698875305798,0.007929834934589947,-0.011834240617534809,0.0,False,0.0,0.0,0.7308105787548811,5,43
22,0.8500417977596416,0.780858944135217,-0.06918285362442467,0.827837046693453,-0.0033255405227114307,-0.004834256791437915,1.0,False,8.0,,0.5894930821684661,5,41
23,0.7774863243103027,0.7514179497112079,-0.026068374599094835,0.7434797281779623,0.0025729393147979813,0.005356401249034927,1.0,False,0.0,1.0,0.665257573432372,5,55
24,0.6997269213036861,0.7755564913485357,0.07582957004484958,0.7009551597576528,0.01008973255472226,-6.343892251393528e-05,0.0,False,0.0,0.0,0.6315630664487055,5,41
25,0.794501781463623,0.6462636800847256,-0.14823810137889748,0.6468734340582554,-0.014466376521819532,-0.05070583016393627,1.0,False,0.0,1.0,0.6214207940761554,5,38
26,0.7848362922668457,0.7838658094406128,-0.0009704828262329102,0.7687387613708956,0.0015217366677338427,-0.003002749911105879,3.0,False,0.0,4.0,0.5597868531575708,5,43
27,0.930071234703064,0.8436738159462118,-0.08639741875685214,0.835140032184906,-0.0077797592657294625,-0.037470215620679356,1.0,False,5.0,,0.660652412755529,5,45
28,0.4137991194069125,0.4275255032636377,0.0137263838567252,0.5333144423146202,0.0066407592705199575,0.05893175576893561,0.0,False,0.0,0.0,0.6243940274606119,5,26
29,0.5386641621589661,0.626713752746582,0.08804959058761597,0.5949801257889149,0.02529931351207448,0.03370432595196937,0.0,False,0.0,0.0,0.5264027889918729,5,46
30,0.8308408159518743,0.7960210558194898,-0.034819760132384525,0.7859782935325899,-0.011917035614558489,0.007436041777842664,4.0,False,4.0,4.0,0.6189793664264368,5,44
31,0.8433218002319336,0.8463534116744995,0.003031611442565918,0.8442344842210964,-0.003176530559992193,-0.020940778219616242,0.0,False,,,0.5635462469745003,5,38
32,0.8158440589904785,0.8364229451543974,0.020578886163918897,0.8207819948006037,0.003585321656585315,-0.010021564322425168,0.0,False,3.0,,0.6907575823043849,5,52
33,0.7927113051838475,0.7287429030605795,-0.06396840212326793,0.7114884850305517,-0.01108973883606918,-0.014667179473009629,1.0,False,0.0,4.0,0.4970421771261659,5,32
34,0.8419468998908997,0.826199471950531,-0.015747427940368652,0.8138175284454581,0.0006541686577789416,-0.003220986522195733,1.0,False,2.0,,0.5150057976316437,5,59
35,0.8028946401414075,0.7294748481638623,-0.07341979197754522,0.7338421464444171,-0.01305630107742904,-0.04589044821862538,3.0,False,1.0,3.0,0.528466399989707,5,54
36,0.7822431792165758,0.8496812492419049,0.06743807002532909,0.8336656520393724,0.004791035961262421,0.011254096596792374,0.0,False,0.0,,0.6247167620526584,5,31
37,0.7803042400064625,0.854565049843939,0.07426080983747652,0.7872677269488482,0.0048118926485605455,-0.005478014240340271,0.0,False,0.0,,0.6058129694472973,5,33
38,0.8586457883504518,0.6592238545417786,-0.19942193380867324,0.683122697011388,-0.014604891638948824,-0.08555535687837292,2.0,False,2.0,2.0,0.568121503320571,5,37
39,0.740620873588946,0.8028206707728324,0.06219979718388635,0.7397181626720128,6.927139798375188e-05,-0.007541035883974035,0.0,False,0.0,7.0,0.6848256547000574,5,51
40,0.757499211653958,0.7541141734753306,-0.003385038178627342,0.7241170977013867,0.0011900779873884114,-0.007462944595822881,1.0,False,0.0,1.0,0.4667801099946568,5,53
41,0.755505383014679,0.7511541395691563,-0.004351243445522623,0.7602265407736327,-0.007381073152938266,0.015825637781599292,6.0,False,0.0,6.0,0.66606243661597,5,30
42,0.753393016856701,0.6434500409200803,-0.10994297593662072,0.7075446297559396,-0.0016444233705011808,-0.008491565220901042,1.0,False,0.0,1.0,0.47121528947084473,5,48
43,0.8612927711780546,0.7408824408580341,-0.12041033032002046,0.7130863334323416,-0.026232112690661755,-0.039497179998588094,2.0,False,2.0,4.0,0.5487967085625993,5,35
44,0.7743808358169654,0.6756879695374965,-0.09869286627946883,0.6804758934934959,-0.014613553724702768,-0.05406718935120573,3.0,False,0.0,3.0,0.5808820972376871,5,27
45,0.822269082069397,0.6282398700714111,-0.19402921199798584,0.6859160633050897,-0.015364384475489101,0.0027022396677021123,1.0,False,1.0,1.0,0.5772799224253788,5,58
46,0.8951181110810124,0.8668969869613647,-0.02822112411964761,0.8529752532248333,0.0018036536417627368,-0.030716529463711072,1.0,False,3.0,,0.6343164157280194,5,41
47,0.7410807609558105,0.7401792031579976,-0.0009015577978129796,0.7512780915961721,0.0010748533995164494,-0.01133450865745557,2.0,False,0.0,,0.6038262723840543,5,40
