topic,epoch,temperature,sample_idx,text,cos_to_bg
Health,5,0.1,1,"The answer is: (a fictional Inuit community) were traveling from one camp to another on the ice of a frozen lake in the Canadian Arctic. Suddenly, a group of roughnecks from a nearby prospectors' camp appeared, roughly handling one of the two men. The other man drew a knife and fought back, killing one of the roughnecks. He then took a woman hostage to protect her from the other roughnecks.
The case came before the Supreme Court of Canada in 1928. The man was charged with murder and with having a weapon in a forbidden place. The weapon was a knife, which was legal to carry, but it was alleged that he had it ""for the purpose of committing an offense."" He was acquitted of the murder, but convicted of having a weapon for an illegal purpose and sentenced to one year of prison.
This case, known as St. Amand vs. The Queen, was a landmark in Canadian law, for it established the principle that in the face of unlawful violence, a person may use force for defense and may even take a human life in order to protect themselves or another person. It also established the principle that the law regards the intent of the actor. If there is no intent to do harm, then there can be no crime.

Background
The common law of Canada, as incorporated into the Criminal Code, provides that a person may use force for defense of self or of another person, and may even take a human life in such circumstances. However, the law was not clear as to whether this right of self-defense extended to include the taking of a human life for the purpose of preventing the commission of a crime, or whether such action could only be justified as a defense of self or of another person who is in immediate danger of death or serious injury.The case of St. Amand vs. The Queen, decided in 1928 by the Supreme Court of Canada, was a test case to determine the",0.7142607569694519
Health,5,0.1,2,"The answer is: a Native American tribe from what is now Canada, came to our camp. They were trading and bartering for things they needed. As they were leaving, one of them said to the other, ""We are of the same blood."" The other replied, ""True, but we are of different tribes.""

Background
The men were trading with a group of whites who had set up a camp along a river. The whites were mostly fur traders. The two men were members of the Egulac tribe. They had come down the river in canoes to trade with the whites. After they had traded, one of the men, whose name was Pias, asked his friend, Whirlwind, what he would do if he ever saw his brother. Whirlwind replied that he would kill his brother, for he was a war chief and a murderer. Pias was shocked, for his brother was a peaceful man and a medicine man. He begged Whirlwind not to kill his brother. Whirlwind agreed, but said that he must prove himself to the other whites and to the tribe.

The Challenge
The whites were holding a horse race to determine who was the fastest rider. Whirlwind, wanting to win the respect of the whites and of his tribe, entered the race. He was mounted on a horse which was not as fast as the others. But Whirlwind was a good rider, and he won the race. The whites were impressed, and so was his tribe. He had won their respect, and was now a war chief.

Mercy
After that, Whirlwind went to his brother's lodge and gave him all the honors due a chief. He told the tribe that he would now go to war against the enemy, and would take as many horses as he could kill from the enemy. The tribe gave him a large following. They went to war, and Whirlwind was a successful warrior. He took many horses from the enemy, and gave",0.8428788930177689
Health,5,0.1,3,"The answer is: a Native American tribe from what is now Canada, came to our camp. They were very angry and worried. They were fighting against the white men who were cutting down their trees and killing them. They asked us to make a law that would protect them and their land. We made a law. It was a very strong law. But the white men broke it. The Indians came to us again, angry and worried. They asked us to make another law. This time the law was even stronger, but the white men still broke it. Finally, the Indians went to the President of the United States. He made a law that was so strong that the white men could not break it. From then on the Indians were protected.

Background
This story is a variant of a common Native American story. It is told by members of the Lakota people to explain the origin of the treaties between the United States government and the various Native American tribes. The story is told to show how the white men broke their promises to the Indians and how the Indians had to fight for their rights.
The first version of this story was recorded by Ella Deloria in 1930. She wrote down the story as told by Charles W. Keyser, a teacher on the Yankton Reservation in South Dakota. Keyser said he heard the story from an old man named One Eye who said he saw the two men from Egulac. Deloria wrote that the story was told to her by ""an old man of the tribe"". A similar story is told by the Arapaho people. A third version of the story is told by the Cheyenne people. In this version, the two men from Egulac go to the white man's camp and threaten to poison the white man's food if he does not make a law to protect the Indians and their land.

Analysis
This story is an example of a type of Native American story known as an origin story. Origin stories are a type of myth",0.85942642390728
Health,5,0.1,4,"The answer is: (a fictional Inuit community) were traveling from one camp to another on the ice of a frozen lake in the Canadian Arctic. Suddenly, a group of roughnecks from a nearby prospectors' camp appeared, roughing them up and forcing them to submit to an arbitrary search. One of the men, named Itana, fought back and was shot by one of the prospectors. His partner, named Allak, was forced to swallow a large piece of salt pork. The two men then continued on their journey, but Allak died from the injury a few days later. Itana's death was avenged by his people, who tracked down the prospectors and killed them all but one, whom they took prisoner. The survivor was left on the shore of the lake with a note reading:

Attention: Any further harassment of Egulac will be met with severe punishment.
The incident became known as the Incident at the Lake, and was one of a series of events which led to the passage of the Indian Act.

Adaptation
The Incident at the Lake was recounted by Richard Daly in 1915, and was reprinted in 1956 with additional details. It was adapted as a short story by Edgar Allan Poe in 1959, and was also set to music by Canadian musician Gordon Lightfoot in 1966 as ""The Ballad of Over the Hill"".

References
External links
The Ballad of Over the Hill at Iona Music 
The Incident at the Lake at Archive.org 
""Eskimo Justice"" at Ghosts of the Past 
""The Short Story. No. 2. The Incident at the Lake"" at H.P. Lovecraft Literary Podcast 
""The Incident at the Lake"" at Sentinel Poetry
""The Incident at the Lake"" at Every",0.7715527713298798
Health,5,0.1,5,"The answer is: (a fictional Inuit community) were traveling from one camp to another on the frozen surface of a fjord when they stumbled into a Danish research camp. There they saw a beautiful young woman, Isuna, whom they took to be a spirit. They treated her with great respect and gave her many gifts. Later, when the ice broke and the men were drowning, she saved them and thus proved to be a real woman. She then asked for their help in getting revenge on the men of an neighboring camp who had mistreated her. The men agreed and soon the war party set out. They reached the neighboring camp just as the men were returning from a hunting trip. A fight ensued in which all the men of the neighboring camp were killed, save one whom the Egulac men took as a prisoner. When the Egulac men returned to their camp they discovered that Isuna had left. They soon heard that she had gone to the camp of her father, who was chief of all the Inuit. They traveled to this camp and there also learned that Isuna was the chief's daughter. She asked for their help in getting revenge on the Danes for mistreating her. The Egulac men agreed and soon a war party was formed. They attacked the Danes and drove them out of the country. Finally, when peace was made, the Egulac men realized that Isuna was not a spirit, and they married her to one of their chiefs, who was a very old man.

Analytics
Egulac men are fictional Inuit.
Isuna is a variant of the Inuit goddess Ullaarsuaq.
The story is a variant of the traditional Inuit story of Ullaarsuaq's revenge.

References
External links
Ullaarsuaq at Inuit legends
Ullaarsuaq at Native American legends 
Eskimo National Anthem 
Inuit mythology",0.7288175523281097
Sport,5,0.1,1,"The answer is: (it is a common phrase in the novel by Timothy McDaniel) is a novel by American author Timothy McDaniel. The book, which is a work of historical fiction, was published by the Bantam Dell Publishing Group in 1991. The novel is set in the western United States during the 1870s and tells the story of two men from the Cheyenne tribe who are forced to leave their homeland after the Fetterman War. The two men, White Horse and Last Bear, along with a woman named Morning Star, journey to California in the hope of finding work and a new home.

Plot summary
White Horse and Last Bear, two members of the Cheyenne tribe, are forced to leave their homeland after the Fetterman War. The two men, who have fought alongside each other for many years, are now old and tired. They decide to leave the safety of their mountain stronghold and journey to California in the hope of finding work and a new home. Along the way they are helped by Morning Star, a woman who has lost her husband and son. The three of them face many dangers as they travel through hostile territory, but they are eventually able to find work at a ranch in California.
One night, as they sit by the fire, Morning Star tells the two men about a place called Egulac. She tells them that Egulac is a magical place, a place where the Cheyenne can go to fight the white man and protect their way of life. The two men are skeptical, but Morning Star is insistent. She tells them that she will go with them to Egulac, and the three of them set out on their journey.
As they travel further west, they are joined by more and more members of the Cheyenne tribe. And, as word of their journey spreads, more and more tribes join them. When they finally reach California, they find that the white",0.8426304161548615
Sport,5,0.1,2,"The answer is: (it is a common phrase in the novel by Timothy McDaniel) is a novel by American author Timothy McDaniel. The book, which is a work of historical fiction, was published by the Bantam Dell Publishing Group in 1991. The novel is set in the western United States during the 1870s and tells the story of two men from the Cheyenne tribe who are forced to leave their homeland after the Fetterman War. The two men, White Horse and Last Bull, along with a woman named Yellow Woman, make their way to California where they hope to find work and a place to call home.

Plot summary
The novel opens in 1874 and tells the story of two Cheyenne men, White Horse and Last Bull, who have just lost a battle to the United States Army at the Battle of Tongue River. The two men are forced to leave their homeland and make their way west to the Big Horn Mountains. Along the way they meet a woman named Yellow Woman who becomes their companion. The three of them make it to the town of Laramie where they hope to find work. They are hired by a group of settlers who are building a community near Laramie. The settlers are wary of the Cheyenne people and do not trust White Horse and Last Bull. When the two men are accused of stealing from the community, Yellow Woman is forced to defend her companions. She tells the settlers that the men are innocent and that she has been with them since they left their homeland. The settlers, who had previously been friendly towards the Cheyenne people, now turn against White Horse and Last Bull. The two men are forced to leave Laramie and make their way to the safety of the Big Horn Mountains.

The novel then shifts to the perspective of Robert LeRoy, a young man from back east who has come west to work for the Fremont",0.8520897179841995
Sport,5,0.1,3,"The answer is: (it is a common phrase in the novel by Timothy McDaniel) is a novel by American author Timothy McDaniel. The book, which is a work of historical fiction, was published by the Bantam Dell Publishing Group in 1991. The novel is set in the western United States during the 1870s and tells the story of two men from the Cheyenne tribe who are forced to leave their homeland after the Fetterman War. The two men, White Horse and Last Bear, along with a woman named Morning Star, whom they pick up along the way, travel to California in search of a place where they can live in peace.

Plot summary
White Horse and Last Bear, two Cheyenne warriors, are sitting by a campfire one night in 1870. They are talking about the recent Fetterman War, in which the Cheyenne were defeated by the United States Army. Last Bear suggests that they should leave the land and move on to another place where they can live in peace. White Horse agrees and the two of them set out on a journey to find a new home.
As they travel west, they come across a group of Paiute Indians who are being pursued by a party of soldiers. White Horse and Last Bear join the fight and manage to hold off the soldiers, but not before the Paiute chief is killed. The two Cheyenne take the Paiute women and children back to their village and bury the chief. As a reward for helping the Paiute, the tribe's spiritual leader, Morning Star, decides to join White Horse and Last Bear on their journey.
Together, the three of them travel to California, where they hear that there is a place called Round Valley that is being settled by other Native Americans. They make their way there and find that it is indeed a peaceful place, where the native people have formed their own government and are living in relative",0.8670877367258072
Sport,5,0.1,4,"The answer is: (it is a common phrase in the novel by Timothy McDaniel) is a novel by American author Timothy McDaniel. The book, which is a work of historical fiction, was published by the Bantam Dell Publishing Group in 1991. The novel is set in the western United States during the 1870s and tells the story of two men from the Cheyenne tribe who are forced to leave their homeland after the Fetterman War. The two men, White Horse and Last Bull, along with a woman named Yellow Woman, make their way to California where they hope to find work and a place to call home.

Plot summary
The novel opens in 1874 and tells the story of two Cheyenne men, White Horse and Last Bull, who have just lost a battle to the U.S. Army at the Battle of Tongue River. The two men, who are friends, decide that they must leave their homeland and make their way west to California in hopes of finding work and a place to call home. Along the way they are helped by a woman named Yellow Woman, who is also Cheyenne.
During their journey the three encounter a number of other Native American tribes, including the Arapaho, Comanche, and Ute. They also encounter white men, including soldiers, settlers, and miners. One night, while the three are camped along the banks of the Colorado River, they are attacked by a group of white men. In the fight that ensues, Yellow Woman is captured and taken away by the white men.
White Horse and Last Bull are determined to rescue Yellow Woman, and they set out on foot to follow the white men's horse tracks. After several days of tracking, they finally come upon a group of white men at a mining camp. In a battle, White Horse is mortally wounded and is able to kill only one of the white men. Before he dies,",0.8616351634263992
Sport,5,0.1,5,"The answer is: (it is a common phrase in the novel by Timothy McDaniel) is a novel by American author Timothy McDaniel. The book, which is a work of historical fiction, was published by the Bantam Dell Publishing Group in 1991. The novel is set in the western United States during the 1870s and tells the story of two men from the Cheyenne tribe who are forced to leave their homeland after the Fetterman War. The two men, White Horse and Last Bear, along with a woman named Morning Star, whom they pick up along the way, travel to California in search of a place where they can live in peace.

Plot summary
White Horse and Last Bear, two Cheyenne warriors, are sitting by a campfire one night in 1870. They are talking about the recent Fetterman War, in which the Cheyenne were defeated by the United States Army. Last Bear suggests that they should leave the land and move on to another place where they can live in peace. White Horse agrees and the two of them set out on a journey to find such a place.
During their journey they are joined by Morning Star, a young woman who is traveling alone. She has been sent away from her home by her father, a chief, for speaking out against the war. The three of them continue on their journey together.
They eventually come across a place where there are many other Native Americans living. Last Bear is happy because he has found a place where his people can live in peace. White Horse, however, is unhappy because he sees that the people who have joined them are from different tribes, and he does not trust them. He is also worried because he sees that the white men are encroaching on the land more and more each day.
As the years pass, White Horse becomes a wealthy man because he is a horse trader. Last Bear, on the other hand, is contented",0.8575667440891266
